feature,importance_mean,importance_std
user_rejected_claims,0.03226409408401136,0.0005669298026788384
days_since_last_claim,0.011920132278938997,0.0004981220834557555
user_total_claims,0.004839454392623732,0.00026263254439508067
user_claims_30d,0.003524186093202847,0.00013279138616763018
frequent_claimant_flag,0.00017685637534003984,0.00010178959043143584
has_rejections_flag,5.652154198222681e-05,1.0080991128913078e-05
reimbursement_ratio,4.3480528643988214e-05,4.607827575304314e-06
ocr_extracted_amount,3.720705554073611e-05,5.3004889114289005e-05
amount,2.9830122159138495e-05,5.568759770711926e-05
insurance_grade,7.601032797621698e-08,2.3535473408403988e-07
ocr_major_count,-2.119770784306252e-06,5.187263499711285e-05
ocr_submitted_amount,-2.70754030315401e-06,9.33989294808821e-05
file_count,-1.2871955884605213e-05,4.599399946042391e-05
ocr_decision,-1.8920674311195818e-05,7.00304010900504e-05
reimbursement_amount,-2.309600025787728e-05,8.707610308503018e-05
status,-2.400288210191448e-05,6.411466338079008e-05
high_amount_flag,-2.9798669609545914e-05,5.507530446606074e-05
insurance_company,-3.352841777159998e-05,5.78618830131471e-05
ocr_severity,-3.4057213760124716e-05,7.570715422855407e-05
ocr_mismatch_count,-3.693381151691211e-05,7.409271687550805e-05
amount_discrepancy,-4.450339176428897e-05,7.805230949704842e-05
ocr_minor_count,-4.6645441437814794e-05,7.305095039662113e-05
